"거래금액","거래유형","건축년도","년","도로명","도로명건물본번호코드","도로명건물부번호코드","도로명시군구코드","도로명일련번호코드","도로명지상지하코드","도로명코드","법정동","법정동본번코드","법정동부번코드","법정동시군구코드","법정동읍면동코드","법정동지번코드","아파트","월","일","일련번호","전용면적","중개사소재지","지번","지역코드","층","해제사유발생일","해제여부"
"   124,000","중개거래","1996","2023","광나루로56길","00032","00000","11215","01","0","4112040"," 구의동","0611","0000","11215","10300","1","구의현대2단지","5","1","11215-25","84.88","서울 광진구","611","11215","3"," "," "
"   102,000","중개거래","2018","2023","광나루로","00545","00000","11215","00",NA,"3005024"," 구의동","0668","0000","11215","10300","1","래미안파크스위트","5","1","11215-4466","59.98","서울 성동구","668","11215","4"," "," "
"    97,000","중개거래","1997","2023","광나루로56길","00029","00000","11215","01","0","4112040"," 구의동","0631","0001","11215","10300","1","현대프라임","5","1","11215-33","59.82","서울 광진구","631-1","11215","23"," "," "
"   102,000","직거래","2018","2023","광나루로","00545","00000","11215","00",NA,"3005024"," 구의동","0668","0000","11215","10300","1","래미안파크스위트","5","3","11215-4466","59.98"," ","668","11215","4","23.05.12","O"
"   116,500","중개거래","1994","2023","구의강변로","00094","00000","11215","00",NA,"3104003"," 구의동","0610","0000","11215","10300","1","구의현대6단지","5","8","11215-26","84.92","경기 광명시, 서울 광진구","610","11215","8"," "," "
"    48,000","중개거래","2003","2023","자양로32길","00016","00000","11215","01","0","4112436"," 구의동","0235","0030","11215","10300","1","도성","5","8","11215-177","70","서울 광진구","235-30","11215","7"," "," "
"   130,000","중개거래","1996","2023","광나루로56길","00032","00000","11215","01","0","4112040"," 구의동","0611","0000","11215","10300","1","구의현대2단지","5","9","11215-25","84.86","서울 광진구","611","11215","16"," "," "
"    86,200","중개거래","1996","2023","아차산로","00503","00023","11215","00",NA,"3000002"," 광장동","0566","0000","11215","10400","1","청구","5","4","11215-14","59.95","서울 광진구","566","11215","14"," "," "
"   107,800","중개거래","2000","2023","아차산로","00549","00000","11215","02","0","3000002"," 광장동","0577","0000","11215","10400","1","현대파크빌","5","4","11215-21","59.94","서울 광진구","577","11215","24"," "," "
"    87,500","중개거래","1996","2023","아차산로","00503","00023","11215","00",NA,"3000002"," 광장동","0566","0000","11215","10400","1","청구","5","5","11215-14","59.95","서울 광진구","566","11215","18"," "," "
